window_start,latency_avg_ms,throughput_msg_s
2025-08-10T16:44:17.171520,0,3365.69
2025-08-10T16:44:27.190075,0,3393.26
2025-08-10T16:44:37.190343,0,3122.08
2025-08-10T16:44:47.191386,45188820.75,3398.94
2025-08-10T16:44:57.191898,44991418.21,3352.27
2025-08-10T16:45:07.192284,44528999.61,3390.4
2025-08-10T16:45:17.192693,42592780.01,3109.59
2025-08-10T16:45:27.202516,8622071.15,1688.53
2025-08-10T16:45:37.212101,8.81,81.23
2025-08-10T16:45:47.215989,9.38,80.97
2025-08-10T16:45:57.227052,9.31,81.31
2025-08-10T16:46:07.231724,9.43,81.76
2025-08-10T16:46:17.234732,9.37,80.98
2025-08-10T16:46:27.239645,9.22,81.06
2025-08-10T16:46:37.245443,9.51,80.96
2025-08-10T16:46:47.256560,10.17,79.71
2025-08-10T16:46:57.257290,12.35,76.1
2025-08-10T16:47:07.259079,9.54,80.89
2025-08-10T16:47:17.271779,10.08,78.0
2025-08-10T16:47:27.272464,9.87,78.7
2025-08-10T16:47:37.277645,9.37,80.46
2025-08-10T16:47:47.286665,9.05,80.93
2025-08-10T16:47:57.291699,9.2,81.26
2025-08-10T16:48:07.304229,9.92,80.3
2025-08-10T16:48:17.308900,9.3,80.46
2025-08-10T16:48:27.316384,9.21,80.34
2025-08-10T16:48:37.321643,10.16,80.06
2025-08-10T16:48:47.329711,9.13,80.94
2025-08-10T16:48:57.337715,9.41,80.34
2025-08-10T16:49:07.339530,9.35,80.19
2025-08-10T16:49:17.353121,9.11,80.69
2025-08-10T16:49:27.365085,9.13,81.11
2025-08-10T16:49:37.375691,9.28,80.12
2025-08-10T16:49:47.380802,9.06,81.16
2025-08-10T16:49:57.392162,9.28,80.11
2025-08-10T16:50:07.395218,9.4,80.28
2025-08-10T16:50:17.396066,9.44,80.1
2025-08-10T16:50:27.396617,9.28,80.6
2025-08-10T16:50:37.402239,9.13,80.76
2025-08-10T16:50:47.406110,9.19,80.17
2025-08-10T16:50:57.413601,9.09,80.94
2025-08-10T16:51:07.418392,9.1,80.86
2025-08-10T16:51:17.424374,9.16,80.16
2025-08-10T16:51:27.428634,9.17,80.47
2025-08-10T16:51:37.433613,9.29,80.06
2025-08-10T16:51:47.448044,9.03,80.99
2025-08-10T16:51:57.456533,9.03,81.23
2025-08-10T16:52:07.468352,9.12,81.01
2025-08-10T16:52:17.473688,9.16,80.86
2025-08-10T16:52:27.474057,9.4,80.2
2025-08-10T16:52:37.479348,9.58,80.06
2025-08-10T16:52:47.486325,9.41,80.25
2025-08-10T16:52:57.492713,9.12,80.25
2025-08-10T16:53:07.500296,9.28,80.54
2025-08-10T16:53:17.504987,10.63,79.97
2025-08-10T16:53:27.510424,9.38,80.56
